account_id,discount_id
338,2
775,3
383,2
273,1
36,1
997,2
220,2
828,3
565,3
593,2
826,2
594,3
142,2
151,2
570,1
19,3
848,3
63,2
719,2
531,3
740,1
779,3
589,3
590,1
265,3
312,3
146,3
137,2
328,2
747,1
103,1
453,3
62,2
985,2
448,2
909,3
987,1
825,2
830,3
748,3
627,3
769,1
965,2
7,3
398,1
107,3
759,2
548,1
242,2
906,3
993,1
413,3
707,3
154,3
116,3
576,1
489,1
678,2
171,2
735,1
974,3
908,1
77,1
708,3
702,2
72,3
298,3
387,1
249,2
464,3
544,3
579,3
781,2
992,2
210,3
654,1
789,1
607,1
927,2
678,1
449,1
904,1
875,3
55,3
881,3
251,3
47,3
837,1
200,3
738,2
892,1
97,3
670,3
950,3
668,2
979,1
29,2
127,3
723,1
225,2
331,3
120,3
903,2
329,2
758,1
184,1
532,3
214,3
686,2
76,3
8,1
577,3
462,3
207,2
976,2
975,3
281,3
946,2
313,2
908,2
791,2
966,3
469,3
211,2
223,2
845,3
742,2
968,3
372,2
614,1
990,2
277,2
850,2
377,3
946,3
797,3
78,1
636,1
337,2
446,2
446,3
539,1
609,1
990,3
219,3
958,2
115,3
676,1
373,2
995,1
757,3
605,1
261,1
186,2
845,1
597,3
720,2
452,3
275,3
603,3
818,3
933,3
880,3
343,3
69,1
973,1
482,1
234,1
623,1
202,3
601,1
145,1
838,3
543,1
155,2
112,1
163,1
207,1
864,1
339,1
405,3
770,2
487,1
673,1
353,2
211,1
476,2
891,1
318,3
193,2
399,1
379,3
786,3
841,1
928,3
870,2
592,1
863,3
894,2
876,1
726,2
811,3
675,3
651,3
382,1
572,2
842,1
598,2
900,2
304,1
194,2
612,1
927,3
650,1
91,3
728,1
556,1
144,3
583,3
356,1
818,2
897,3
244,1
334,1
37,2
46,1
379,2
245,1
985,1
576,3
119,2
672,1
422,1
655,1
249,3
847,3
910,1
138,1
827,1
557,3
336,3
562,2
51,3
447,1
961,2
877,3
132,3
591,1
763,3
352,3
488,3
662,2
352,2
691,3
902,3
784,2
753,1
159,3
692,3
206,1
836,1
284,1
376,3
310,2
259,2
127,2
491,3
35,1
849,1
105,1
486,3
997,1
417,1
588,1
213,1
361,3
508,3
349,2
341,3
136,1
87,1
875,1
124,2
917,1
152,3
595,2
710,1
268,1
