address_id,city,state,zipcode
1,North Judithbury,California,59464
2,East Jill,Wisconsin,98096
3,New Roberttown,New York,44365
4,East Jessetown,Massachusetts,34549
5,Lake Debra,Kansas,47813
6,Robinsonshire,Michigan,47727
7,Lisatown,Louisiana,73947
8,Lake Roberto,Arkansas,73572
9,Ericmouth,North Carolina,34280
10,North Noahstad,Iowa,45608
11,Cassandraton,Oklahoma,03100
12,Herrerafurt,Tennessee,54471
13,New Kellystad,Missouri,16391
14,Lake Chad,Montana,46519
15,Port Keith,Kansas,89575
16,Port Jesseville,Colorado,79875
17,Ramirezstad,New Jersey,26578
18,West Michael,New Hampshire,76110
19,Jacquelineland,Oregon,75984
20,New Jessica,New Hampshire,85680
21,South Noah,Colorado,85583
22,Lake Mark,New York,71075
23,East Lydiamouth,New Hampshire,23378
24,Adamsborough,Massachusetts,37805
25,Jasonfort,Delaware,47045
26,Wilkersonmouth,New York,43111
27,West Donald,West Virginia,88737
28,Juliechester,Tennessee,67405
29,Coxberg,Alaska,64397
30,Daviston,Connecticut,97038
31,East Courtneychester,Montana,59081
32,South Patrickmouth,Nebraska,10778
33,Tashatown,Arizona,50448
34,Lake Nicoleview,Oklahoma,80935
35,Danielchester,Oklahoma,38056
36,South Aaron,Alabama,61285
37,Teresaburgh,Colorado,83300
38,Port Colleenhaven,Rhode Island,19486
39,East Nathaniel,South Carolina,22465
40,New Stephanie,South Dakota,84463
41,New Mariotown,Maryland,44723
42,West Natashaport,North Carolina,55789
43,North John,Oklahoma,83243
44,North Jessicaland,Indiana,80757
45,East Donna,Tennessee,75426
46,West Allison,Texas,53555
47,Brandtside,New Jersey,09852
48,Lake Larry,Michigan,10870
49,Samuelhaven,Mississippi,21734
50,Martinezbury,Arkansas,45540
51,West Andrewside,Iowa,30413
52,New Jeffrey,New Jersey,41589
53,Lake Crystalbury,Michigan,42034
54,North Micheleland,Oklahoma,86092
55,West Elizabeth,Wyoming,38689
56,New David,South Carolina,93618
57,Sanchezfort,Rhode Island,35559
58,Leeville,New Mexico,79850
59,Gomezchester,Virginia,84995
60,Shieldston,Texas,52334
61,North Richardmouth,Mississippi,36054
62,East Jamesside,Virginia,58814
63,Taylorburgh,New Hampshire,48101
64,Stevenland,Delaware,98529
65,Mortonside,Connecticut,77429
66,North Deniseside,Wisconsin,68781
67,North Sarabury,Texas,59521
68,South Todd,Iowa,54763
69,Port Richard,Alabama,22431
70,East Nicholasfurt,Michigan,24603
71,Saramouth,Minnesota,03528
72,Rodneyside,South Dakota,16890
73,Mooreport,Maine,95891
74,North Beth,Oklahoma,31254
75,Lake Leeton,North Dakota,87273
76,Shawhaven,Mississippi,33484
77,North Susan,Vermont,98002
78,Port Jacobland,Connecticut,92342
79,South David,Arizona,98770
80,New Brooke,Hawaii,10995
81,South Dianeshire,New York,28101
82,Sarahborough,Florida,22378
83,Johnfurt,Virginia,52542
84,Lake Debbie,West Virginia,14002
85,Stewartland,Washington,13025
86,South Christineshire,Nebraska,08862
87,North Amandahaven,Connecticut,62522
88,Davidstad,Kentucky,72385
89,East Mikeburgh,South Carolina,07556
90,Bassport,Illinois,03956
91,Lake Lisaport,Illinois,52538
92,East Josephville,Delaware,69180
93,West Juan,Montana,11412
94,Lake Matthew,Indiana,14123
95,Williamview,New Jersey,34901
96,North Cynthiaview,Illinois,81516
97,North Matthewberg,Virginia,20853
98,Evanmouth,Michigan,11551
99,Hoffmanville,Connecticut,86331
100,Lake Rebeccaside,Wisconsin,51598
101,Port Mikeside,Nebraska,41050
102,South David,Arizona,30563
103,Michaelton,South Dakota,32927
104,Jasonbury,Utah,97178
105,West Kimberlychester,Pennsylvania,37748
106,East Michelle,Delaware,58586
107,South Angel,Wyoming,82615
108,Kimberlychester,New Hampshire,17070
109,West Erik,New Jersey,17707
110,South Monicafort,Texas,69542
111,East Lisa,Pennsylvania,22862
112,Baileybury,North Carolina,04245
113,North Donna,Florida,05108
114,Murphyland,New York,87473
115,Michaelhaven,Alabama,47272
116,Frazierside,North Dakota,43125
117,Sheilaville,West Virginia,62911
118,Gregoryview,Arkansas,61736
119,North Candacestad,Oklahoma,71356
120,Samuelhaven,Nevada,36206
121,South Rachelborough,Pennsylvania,72399
122,Bradleychester,New Mexico,58807
123,New Saraside,North Carolina,18210
124,West Ryan,Wyoming,91939
125,Cindyville,Idaho,71186
126,Williamchester,Vermont,23705
127,Richardport,Pennsylvania,77942
128,East Robert,Idaho,78827
129,Byrdburgh,Washington,60341
130,Richardtown,Florida,83213
131,Justinchester,Connecticut,98662
132,Stevenmouth,Missouri,83843
133,New Thomas,Texas,74423
134,Lake Christopher,Rhode Island,57514
135,Clarencebury,Rhode Island,69111
136,Jeffreyborough,Massachusetts,84359
137,North Brandon,North Carolina,84325
138,Carrland,Missouri,70465
139,Perryshire,Nebraska,41088
140,Lake Heather,Rhode Island,46005
141,Rossberg,Vermont,63632
142,Port Michelleville,Wisconsin,71236
143,Robinsonhaven,Kansas,30271
144,Williamsbury,Louisiana,12239
145,South Dennismouth,Montana,58416
146,Stephaniemouth,Michigan,40853
147,Rivasside,Maine,48444
148,Merrittfort,New Hampshire,54529
149,Greenbury,Florida,34554
150,Katiehaven,Florida,20911
151,Simsview,Nebraska,40290
152,Jonesport,Rhode Island,01884
153,West Matthew,Vermont,00513
