log_id,ticket_id,duration_sec
1,240,389
2,293,1096
3,277,1046
4,464,1028
5,312,97
6,108,891
7,131,1038
8,176,1074
9,348,455
10,411,154
11,467,634
12,363,614
13,251,68
14,102,102
15,54,320
16,219,1191
17,158,213
18,468,412
19,87,874
20,448,651
21,372,215
22,79,154
23,77,1006
24,18,525
25,43,84
26,73,297
27,490,711
28,179,949
29,266,697
30,321,953
31,492,562
32,46,1117
33,410,424
34,363,326
35,219,874
36,164,1187
37,482,90
38,225,931
39,181,620
40,135,842
41,291,942
42,285,940
43,198,317
44,223,567
45,230,1121
46,293,277
47,493,804
48,288,140
49,103,629
50,202,1186
51,439,910
52,256,1178
53,146,99
54,254,483
55,58,458
56,317,84
57,176,154
58,305,635
59,468,845
60,413,459
61,135,588
62,347,129
63,87,739
64,124,364
65,169,922
66,433,673
67,226,894
68,467,228
69,389,135
70,64,191
71,94,975
72,22,295
73,436,366
74,155,895
75,121,1085
76,344,115
77,334,615
78,52,1141
79,200,985
80,426,244
81,101,1108
82,103,302
83,64,645
84,450,1132
85,48,107
86,289,314
87,350,633
88,386,604
89,118,1002
90,290,544
91,462,457
92,4,328
93,212,214
94,80,519
95,453,717
96,434,138
97,434,970
98,162,768
99,48,686
100,456,928
101,210,1171
102,99,463
103,190,99
104,357,870
105,30,709
106,95,164
107,399,175
108,280,780
109,423,422
110,21,534
111,7,695
112,300,708
113,6,366
114,249,946
115,226,885
116,92,1019
117,300,63
118,369,627
119,384,253
120,259,608
121,1,666
122,40,90
123,453,260
124,485,693
125,238,959
126,313,1181
127,425,987
128,95,351
129,190,1099
130,478,476
131,440,846
132,179,1137
133,347,589
134,390,359
135,307,631
136,87,789
137,291,1160
138,288,297
139,411,292
140,326,1161
141,489,798
142,430,959
143,393,103
144,19,576
145,396,1041
146,22,267
147,79,840
148,39,1126
149,473,324
150,27,192
151,278,690
152,79,693
153,56,761
154,174,566
155,42,890
156,337,619
157,92,1089
158,336,255
159,26,1113
160,119,466
161,182,106
162,294,660
163,381,352
164,115,298
165,94,535
166,298,260
167,275,1159
168,96,278
169,395,1182
170,359,665
171,495,68
172,39,404
173,213,1150
174,434,183
175,55,239
176,242,139
177,398,1039
178,409,374
179,65,75
180,179,285
181,227,565
182,359,1176
183,404,390
184,243,645
185,199,796
186,234,311
187,256,116
188,215,476
189,197,140
190,152,288
191,277,1028
192,303,1168
193,227,376
194,320,784
195,28,703
196,51,565
197,208,832
198,191,250
199,172,666
200,500,359
201,13,628
202,486,834
203,433,712
204,253,1123
205,225,316
206,480,547
207,312,607
208,463,628
209,498,376
210,488,1035
211,343,702
212,123,229
213,47,1049
214,343,953
215,264,1097
216,88,971
217,355,1163
218,249,1018
219,110,792
220,326,644
221,247,921
222,445,846
223,168,920
224,28,242
225,355,610
226,135,297
227,345,936
228,85,303
229,122,135
230,349,1102
231,115,1044
232,258,987
233,258,88
234,370,1119
235,30,539
236,482,446
237,66,1195
238,428,1089
239,310,322
240,153,1001
241,435,184
242,294,151
243,39,475
244,201,98
245,347,479
246,39,683
247,357,455
248,269,705
249,235,699
250,486,1079
251,303,991
252,397,845
253,412,629
254,323,851
255,374,317
256,42,842
257,469,396
258,96,195
259,441,240
260,245,175
261,147,774
262,383,537
263,89,122
264,252,1162
265,69,655
266,15,640
267,282,82
268,466,1054
269,157,971
270,247,602
271,413,907
272,110,1026
273,99,85
