call_id,sub_id,duration_sec
1,991,106
2,743,378
3,856,2900
4,365,3222
5,873,982
6,718,606
7,467,972
8,874,1554
9,757,2665
10,548,1407
11,152,3489
12,789,3138
13,740,1138
14,498,1709
15,517,1835
16,816,174
17,407,635
18,126,3375
19,769,1310
20,561,2186
21,797,3225
22,916,1837
23,841,802
24,206,1231
25,726,2315
26,464,2492
27,741,3029
28,336,815
29,79,3072
30,315,2543
31,498,1529
32,210,2819
33,875,1233
34,113,1587
35,897,1511
36,559,804
37,843,1148
38,954,2879
39,744,79
40,77,1104
41,649,3497
42,682,2968
43,988,2475
44,2,1069
45,112,1755
46,739,1597
47,325,1052
48,988,1249
49,39,2844
50,100,593
51,751,1463
52,514,2730
53,961,1912
54,690,1688
55,287,3235
56,399,759
57,102,1865
58,676,1065
59,827,2763
60,783,2293
61,256,3198
62,186,2048
63,212,1572
64,829,2937
65,947,3574
66,509,1570
67,867,3052
68,527,3537
69,960,841
70,433,160
71,98,117
72,361,1322
73,735,3064
74,579,1338
75,577,2849
76,526,940
77,94,1324
78,725,1338
79,451,3290
80,530,970
81,841,736
82,929,644
83,822,741
84,327,3554
85,642,3145
86,726,1944
87,651,1490
88,336,3056
89,902,2107
90,71,3192
91,30,978
92,704,1410
93,727,1224
94,994,2493
95,547,2550
96,490,3488
97,976,1708
98,810,1959
99,621,2228
100,374,3389
101,533,2356
102,317,1658
103,351,1450
104,141,1016
105,2,2735
106,577,77
107,426,2248
108,385,467
109,898,1926
110,471,1695
111,768,3299
112,910,1241
113,897,1779
114,704,3372
115,441,1766
116,52,2854
117,870,2971
118,925,1177
119,39,667
120,2,437
121,644,2944
122,971,3301
123,167,1582
124,571,540
125,283,2306
126,62,1459
127,84,2336
128,582,3028
129,986,2834
130,858,2860
131,824,1591
132,776,3197
133,255,941
134,733,1370
135,851,2669
136,482,976
137,626,3138
138,881,3446
139,674,2185
140,903,3164
141,521,122
142,790,53
143,440,1329
144,250,1763
145,118,3413
146,183,1001
147,32,297
148,41,850
149,376,829
150,973,1631
151,777,2485
152,623,2701
153,275,2518
154,847,671
155,25,2739
156,368,2959
157,907,367
158,249,3269
159,338,347
160,543,1319
161,977,1258
162,249,1907
163,745,1824
164,765,1190
165,747,2398
166,911,955
167,534,1647
168,412,842
169,867,2679
170,528,1414
171,691,3465
172,109,2403
173,309,1193
174,357,1161
175,575,3285
176,612,1151
177,297,3058
178,219,1069
179,549,3304
180,642,2625
181,305,3312
182,920,899
183,710,212
184,639,775
185,164,3308
186,909,2570
187,575,1942
188,742,798
189,662,154
190,841,765
191,110,2636
192,513,2407
193,941,2249
194,276,1215
195,441,2771
196,336,2191
197,976,1073
198,492,2577
199,866,2323
200,644,2289
201,339,2703
202,220,92
203,649,350
204,620,1637
205,798,255
206,558,3369
207,730,3233
208,819,2266
209,237,51
210,266,2301
211,434,3054
212,237,3404
213,2,2840
214,901,858
215,744,462
216,937,1456
217,157,2542
218,296,3400
219,555,489
220,855,3487
221,751,3180
222,399,3106
223,448,2223
224,590,1173
225,949,1732
226,872,2504
227,831,3001
228,610,2349
229,650,1902
230,595,3477
231,162,2167
232,290,1457
233,809,2151
234,191,1131
235,600,969
236,344,694
237,509,3273
238,151,2233
239,359,3520
240,122,565
241,837,97
242,861,2611
243,532,3169
244,55,3481
245,405,1680
246,77,2838
247,605,2015
248,877,3094
249,621,2490
250,288,915
251,426,60
252,946,2334
253,124,2034
254,566,3588
255,447,1314
256,802,2581
257,330,2849
258,416,1331
259,5,826
260,867,2411
