demo_id,age,gender
1,41,Other
2,75,Other
3,56,M
4,81,M
5,23,F
6,34,Other
7,83,M
8,78,F
9,37,Other
10,68,Other
11,58,F
12,66,Other
13,52,Other
14,29,Other
15,78,F
16,36,F
17,70,M
18,62,F
19,65,M
20,67,F
21,18,F
22,25,M
23,76,M
24,83,F
25,21,F
26,35,M
27,78,M
28,58,Other
29,77,Other
30,41,Other
31,37,F
32,72,F
33,53,M
34,20,Other
35,40,F
36,79,F
37,27,M
38,71,F
39,58,M
40,59,Other
41,27,M
42,74,M
43,79,M
44,41,F
45,76,Other
46,21,Other
47,27,F
48,65,Other
49,70,Other
50,27,F
51,59,Other
52,45,M
53,28,Other
54,67,F
55,66,Other
56,43,F
57,35,Other
58,33,Other
59,79,M
60,29,F
61,29,Other
62,42,M
63,51,F
64,49,M
65,22,Other
66,51,M
67,45,Other
68,57,F
69,80,Other
70,29,M
71,68,M
72,33,M
73,28,Other
74,44,M
75,45,M
76,73,M
77,84,Other
78,67,Other
79,71,F
80,47,F
81,51,M
82,80,Other
83,61,F
84,34,Other
85,24,Other
86,31,Other
87,21,Other
88,33,M
89,84,F
90,69,Other
91,75,M
92,63,F
93,81,Other
94,31,M
95,84,M
96,54,M
97,25,F
98,59,M
99,61,F
100,60,F
101,27,Other
102,59,Other
103,73,Other
104,60,M
105,38,Other
106,35,F
107,31,M
108,54,F
109,75,M
110,76,F
111,83,Other
112,18,F
113,31,Other
114,37,F
115,65,M
116,69,Other
117,22,M
118,52,M
119,64,Other
120,41,Other
121,71,Other
122,78,Other
123,65,Other
124,78,M
125,78,M
126,75,F
127,76,Other
128,52,F
129,29,Other
130,21,F
131,55,Other
132,19,Other
133,29,Other
134,68,M
135,63,F
136,69,F
137,84,Other
138,83,M
139,28,Other
140,61,M
141,44,F
142,81,F
143,82,Other
144,73,Other
145,53,F
146,65,M
147,35,M
148,36,Other
149,27,F
150,74,Other
151,70,Other
152,53,Other
153,68,F
154,61,Other
155,30,Other
156,25,F
157,18,M
158,38,Other
159,51,M
160,42,M
161,29,F
162,29,M
163,46,Other
164,30,M
165,71,Other
166,56,F
167,52,Other
168,44,Other
169,50,F
170,34,F
171,45,M
172,23,F
173,22,Other
174,75,M
175,52,Other
176,50,Other
177,43,M
178,54,Other
179,62,M
180,76,F
181,26,F
182,26,F
183,77,M
184,64,Other
185,75,M
186,25,M
187,54,M
188,65,F
189,74,F
190,21,Other
191,76,F
192,23,M
193,37,F
194,60,F
195,37,Other
196,52,Other
197,55,F
198,83,Other
199,34,Other
200,26,F
201,35,M
202,43,M
203,67,Other
204,35,F
205,77,Other
206,23,Other
207,75,Other
208,53,F
209,37,Other
210,20,Other
211,37,Other
212,55,F
213,42,Other
214,39,Other
215,66,M
216,33,Other
217,40,F
218,60,Other
219,53,M
220,55,M
221,75,F
222,53,Other
223,45,F
224,62,Other
225,48,F
226,57,Other
227,64,M
228,71,M
229,78,M
230,80,M
231,74,Other
232,43,M
233,73,F
234,80,M
235,24,Other
236,18,M
237,63,Other
238,39,Other
239,22,M
240,27,F
241,36,M
242,44,Other
243,59,Other
244,78,M
245,60,M
246,51,M
247,70,Other
248,65,M
249,33,M
250,77,M
251,41,Other
252,81,Other
253,49,F
254,32,M
255,58,Other
256,21,F
257,78,F
258,79,M
259,58,Other
260,45,M
261,49,M
262,82,Other
263,73,F
264,83,F
265,48,F
266,59,F
267,50,F
268,27,Other
269,79,Other
270,22,F
271,61,M
272,40,M
273,70,F
274,62,F
275,26,Other
276,44,Other
277,37,Other
278,41,M
279,18,Other
280,59,M
281,78,M
282,79,Other
283,36,F
284,18,F
285,68,F
286,39,Other
287,34,M
288,26,Other
289,29,F
290,72,Other
291,52,F
292,21,Other
293,21,F
294,24,M
295,52,Other
296,58,M
297,83,F
298,66,Other
299,33,F
300,68,M
301,23,Other
302,63,F
303,26,M
304,79,M
305,32,M
306,25,M
307,64,F
308,32,F
309,22,M
310,70,F
311,63,M
312,85,M
313,47,F
314,30,Other
315,40,M
316,44,M
317,72,M
318,24,Other
319,23,M
320,50,F
321,37,M
322,60,F
323,82,Other
324,44,M
325,82,M
326,73,M
327,24,Other
328,48,M
329,77,Other
330,72,Other
331,79,Other
332,84,F
333,82,M
334,63,M
335,41,F
336,81,F
337,26,M
338,45,F
339,35,Other
340,62,M
341,67,F
342,36,F
343,21,Other
344,76,F
345,57,M
346,35,M
347,34,M
348,41,M
349,60,M
350,85,F
351,28,Other
352,27,M
353,42,M
354,47,M
355,60,M
356,20,F
357,24,Other
358,24,M
359,46,Other
360,57,M
361,77,Other
362,26,Other
363,33,M
364,25,Other
365,53,F
366,76,M
367,50,Other
368,37,M
369,56,M
370,28,M
371,69,F
372,80,Other
373,54,F
374,74,Other
375,57,F
376,44,F
377,22,F
378,59,Other
379,34,Other
380,42,M
381,45,M
382,83,F
383,28,Other
384,73,Other
385,66,F
386,83,Other
387,26,F
388,82,Other
389,41,Other
390,22,M
391,66,Other
392,81,F
393,74,Other
394,62,F
395,68,F
396,47,Other
397,42,Other
398,36,Other
399,38,F
400,73,F
401,81,M
402,43,M
403,67,Other
404,44,F
405,29,Other
406,69,F
407,29,F
408,71,M
409,23,M
410,48,M
411,44,F
412,63,Other
413,48,Other
414,20,Other
415,68,F
416,55,F
417,50,Other
418,32,F
419,74,Other
420,38,F
421,67,Other
422,35,M
423,21,M
424,37,F
425,68,Other
426,71,F
427,72,F
428,68,F
429,58,M
430,31,F
431,62,M
432,83,F
433,76,M
434,58,M
435,66,F
436,56,M
437,52,Other
438,28,M
439,38,Other
440,78,Other
441,72,F
442,73,Other
443,32,F
444,58,M
445,56,F
446,20,F
447,78,Other
448,56,Other
449,71,M
450,66,M
451,60,Other
452,56,Other
453,71,F
454,82,F
455,31,Other
456,42,Other
457,80,M
458,37,M
459,50,Other
460,39,Other
461,32,M
462,21,F
463,32,M
464,31,M
465,24,Other
466,49,Other
467,31,M
468,38,F
469,37,F
470,47,F
471,30,M
472,40,Other
473,77,M
474,64,F
475,30,Other
476,63,M
477,70,F
478,63,Other
479,22,Other
480,30,M
481,79,F
482,40,Other
483,69,Other
484,51,F
485,74,F
486,49,F
487,85,F
488,41,M
489,30,Other
490,41,M
491,36,Other
492,31,F
493,71,M
494,42,M
495,38,M
496,36,Other
497,23,M
498,60,F
499,42,M
500,29,M
501,49,M
502,83,F
503,77,M
504,74,F
505,21,M
506,25,F
507,22,M
508,20,Other
509,60,Other
510,84,M
511,44,M
512,63,F
513,71,Other
514,54,F
515,77,M
516,28,F
517,64,M
518,26,F
519,34,M
520,25,Other
521,35,Other
522,28,M
523,41,F
524,56,Other
525,59,F
526,37,M
527,47,M
528,28,F
529,52,M
530,53,F
531,58,F
532,59,Other
533,42,Other
534,58,F
535,42,M
536,51,M
537,43,Other
538,24,M
539,69,Other
540,78,F
541,55,Other
542,55,M
543,81,Other
544,31,F
545,36,Other
546,56,F
547,76,Other
548,46,Other
549,31,M
550,72,Other
551,56,F
552,32,M
553,32,F
554,69,F
555,33,M
556,68,M
557,56,M
558,50,Other
559,34,M
560,20,M
561,75,Other
562,70,F
563,28,F
564,29,M
565,26,M
566,18,F
567,44,M
568,33,Other
569,61,Other
570,79,F
