tower_id,address_id,type
1,1021,5G
2,1022,4G
3,1023,5G
4,1024,5G
5,1025,5G
6,1026,5G
7,1027,4G
8,1028,5G
9,1029,5G
10,1030,4G
11,1031,4G
12,1032,4G
13,1033,5G
14,1034,4G
15,1035,5G
16,1036,4G
17,1037,4G
18,1038,5G
19,1039,5G
20,1040,4G
21,1041,5G
22,1042,5G
23,1043,4G
24,1044,4G
25,1045,4G
26,1046,4G
27,1047,5G
28,1048,5G
29,1049,5G
30,1050,5G
31,1051,5G
32,1052,5G
33,1053,5G
34,1054,5G
35,1055,5G
36,1056,5G
37,1057,5G
38,1058,4G
39,1059,5G
40,1060,5G
41,1061,5G
42,1062,4G
43,1063,5G
44,1064,5G
45,1065,4G
46,1066,5G
47,1067,5G
48,1068,5G
49,1069,5G
50,1070,5G
