method_id,account_id,type
1,1,Credit
2,2,Credit
3,3,Bank
4,4,Debit
5,5,Credit
6,6,Bank
7,7,Credit
8,8,Credit
9,9,Credit
10,10,Credit
11,11,Credit
12,12,Debit
13,13,Debit
14,14,Credit
15,15,Credit
16,16,Credit
17,17,Credit
18,18,Bank
19,19,Credit
20,20,Credit
21,21,Debit
22,22,Credit
23,23,Debit
24,24,Debit
25,25,Credit
26,26,Credit
27,27,Credit
28,28,Credit
29,29,Credit
30,30,Bank
31,31,Debit
32,32,Bank
33,33,Debit
34,34,Debit
35,35,Debit
36,36,Bank
37,37,Debit
38,38,Debit
39,39,Bank
40,40,Bank
41,41,Bank
42,42,Debit
43,43,Bank
44,44,Bank
45,45,Debit
46,46,Debit
47,47,Debit
48,48,Bank
49,49,Bank
50,50,Credit
51,51,Debit
52,52,Credit
53,53,Bank
54,54,Debit
55,55,Credit
56,56,Credit
57,57,Bank
58,58,Debit
59,59,Debit
60,60,Bank
61,61,Bank
62,62,Bank
63,63,Credit
64,64,Credit
65,65,Bank
66,66,Bank
67,67,Credit
68,68,Debit
69,69,Bank
70,70,Credit
71,71,Bank
72,72,Debit
73,73,Bank
74,74,Credit
75,75,Debit
76,76,Debit
77,77,Credit
78,78,Bank
79,79,Debit
80,80,Bank
81,81,Bank
82,82,Debit
83,83,Credit
84,84,Debit
85,85,Debit
86,86,Bank
87,87,Credit
88,88,Credit
89,89,Bank
90,90,Credit
91,91,Debit
92,92,Bank
93,93,Debit
94,94,Debit
95,95,Credit
96,96,Bank
97,97,Bank
98,98,Credit
99,99,Bank
100,100,Credit
101,101,Bank
102,102,Debit
103,103,Credit
104,104,Bank
105,105,Credit
106,106,Bank
107,107,Bank
108,108,Debit
109,109,Debit
110,110,Bank
111,111,Credit
112,112,Debit
113,113,Debit
114,114,Debit
115,115,Credit
116,116,Credit
117,117,Bank
118,118,Bank
119,119,Credit
120,120,Debit
121,121,Credit
122,122,Credit
123,123,Debit
124,124,Credit
125,125,Bank
126,126,Credit
127,127,Bank
128,128,Debit
129,129,Debit
130,130,Debit
131,131,Credit
132,132,Credit
133,133,Bank
134,134,Bank
135,135,Bank
136,136,Credit
137,137,Debit
138,138,Debit
139,139,Credit
140,140,Bank
141,141,Debit
142,142,Credit
143,143,Debit
144,144,Debit
145,145,Debit
146,146,Credit
147,147,Debit
148,148,Debit
149,149,Credit
150,150,Debit
151,151,Debit
152,152,Credit
153,153,Bank
154,154,Debit
155,155,Debit
156,156,Bank
157,157,Credit
158,158,Debit
159,159,Bank
160,160,Bank
161,161,Credit
162,162,Credit
163,163,Debit
164,164,Bank
165,165,Credit
166,166,Credit
167,167,Bank
168,168,Credit
169,169,Debit
170,170,Credit
171,171,Debit
172,172,Bank
173,173,Bank
174,174,Credit
175,175,Debit
176,176,Debit
177,177,Debit
178,178,Debit
179,179,Credit
180,180,Bank
181,181,Bank
182,182,Bank
183,183,Bank
184,184,Credit
185,185,Bank
186,186,Credit
187,187,Bank
188,188,Bank
189,189,Bank
190,190,Debit
191,191,Credit
192,192,Credit
193,193,Bank
194,194,Credit
195,195,Bank
196,196,Credit
197,197,Bank
198,198,Bank
199,199,Debit
200,200,Bank
201,201,Credit
202,202,Credit
203,203,Credit
204,204,Bank
205,205,Bank
206,206,Bank
207,207,Credit
208,208,Bank
209,209,Credit
210,210,Credit
211,211,Debit
212,212,Credit
213,213,Debit
214,214,Debit
215,215,Credit
216,216,Debit
217,217,Bank
218,218,Debit
219,219,Debit
220,220,Debit
221,221,Bank
222,222,Credit
223,223,Bank
224,224,Credit
225,225,Credit
226,226,Debit
227,227,Credit
228,228,Credit
229,229,Credit
230,230,Credit
231,231,Bank
232,232,Bank
233,233,Bank
234,234,Bank
235,235,Bank
236,236,Debit
237,237,Bank
238,238,Credit
239,239,Debit
240,240,Debit
241,241,Debit
242,242,Debit
243,243,Credit
244,244,Credit
245,245,Debit
246,246,Bank
247,247,Credit
248,248,Bank
249,249,Credit
250,250,Credit
251,251,Credit
252,252,Debit
253,253,Debit
254,254,Credit
255,255,Bank
256,256,Debit
257,257,Bank
258,258,Bank
259,259,Debit
260,260,Bank
261,261,Debit
262,262,Bank
263,263,Bank
264,264,Credit
265,265,Debit
266,266,Bank
267,267,Bank
268,268,Bank
269,269,Bank
270,270,Debit
271,271,Bank
272,272,Debit
273,273,Debit
274,274,Bank
275,275,Bank
276,276,Credit
277,277,Debit
278,278,Debit
279,279,Debit
280,280,Debit
281,281,Bank
282,282,Credit
283,283,Credit
284,284,Credit
285,285,Bank
286,286,Credit
287,287,Credit
288,288,Credit
289,289,Debit
290,290,Debit
291,291,Bank
292,292,Credit
293,293,Credit
294,294,Debit
295,295,Debit
296,296,Bank
297,297,Credit
298,298,Debit
299,299,Bank
300,300,Bank
301,301,Credit
302,302,Credit
303,303,Debit
304,304,Bank
305,305,Bank
306,306,Debit
307,307,Credit
308,308,Bank
309,309,Bank
310,310,Credit
311,311,Bank
312,312,Bank
313,313,Debit
314,314,Credit
315,315,Bank
316,316,Debit
317,317,Bank
318,318,Debit
319,319,Credit
320,320,Credit
321,321,Bank
322,322,Debit
323,323,Credit
324,324,Credit
325,325,Credit
326,326,Debit
327,327,Bank
328,328,Credit
329,329,Bank
330,330,Bank
331,331,Credit
332,332,Debit
333,333,Bank
334,334,Debit
335,335,Bank
336,336,Debit
337,337,Debit
338,338,Debit
339,339,Credit
340,340,Debit
341,341,Bank
342,342,Bank
343,343,Debit
344,344,Credit
345,345,Credit
346,346,Bank
347,347,Bank
348,348,Credit
349,349,Bank
350,350,Bank
351,351,Bank
352,352,Bank
353,353,Credit
354,354,Credit
355,355,Bank
356,356,Debit
357,357,Credit
358,358,Credit
359,359,Credit
360,360,Bank
361,361,Credit
362,362,Debit
363,363,Credit
364,364,Bank
365,365,Credit
366,366,Debit
367,367,Credit
368,368,Bank
369,369,Debit
370,370,Bank
371,371,Bank
372,372,Bank
373,373,Debit
374,374,Bank
375,375,Credit
376,376,Credit
377,377,Debit
378,378,Bank
379,379,Credit
380,380,Bank
381,381,Bank
382,382,Bank
383,383,Credit
384,384,Bank
385,385,Bank
386,386,Bank
387,387,Credit
388,388,Bank
389,389,Debit
390,390,Credit
391,391,Bank
392,392,Bank
393,393,Debit
394,394,Credit
395,395,Debit
396,396,Credit
397,397,Credit
398,398,Credit
399,399,Credit
400,400,Credit
401,401,Debit
402,402,Bank
403,403,Debit
404,404,Debit
405,405,Debit
406,406,Bank
407,407,Credit
408,408,Credit
409,409,Credit
410,410,Debit
411,411,Credit
412,412,Credit
413,413,Credit
414,414,Bank
415,415,Credit
416,416,Bank
417,417,Debit
418,418,Credit
419,419,Bank
420,420,Credit
421,421,Debit
422,422,Bank
423,423,Debit
424,424,Debit
425,425,Debit
426,426,Debit
427,427,Debit
428,428,Debit
429,429,Debit
430,430,Debit
431,431,Credit
432,432,Debit
433,433,Credit
434,434,Bank
435,435,Debit
436,436,Debit
437,437,Credit
438,438,Credit
439,439,Bank
440,440,Debit
441,441,Bank
442,442,Credit
443,443,Debit
444,444,Credit
445,445,Debit
446,446,Debit
447,447,Debit
448,448,Debit
449,449,Credit
450,450,Debit
451,451,Credit
452,452,Credit
453,453,Debit
454,454,Bank
455,455,Debit
456,456,Debit
457,457,Debit
458,458,Bank
459,459,Bank
460,460,Bank
461,461,Debit
462,462,Debit
463,463,Credit
464,464,Credit
465,465,Credit
466,466,Credit
467,467,Debit
468,468,Credit
469,469,Credit
470,470,Bank
471,471,Bank
472,472,Bank
473,473,Bank
474,474,Bank
475,475,Bank
476,476,Bank
477,477,Bank
478,478,Bank
479,479,Debit
480,480,Credit
481,481,Bank
482,482,Credit
483,483,Bank
484,484,Credit
485,485,Bank
486,486,Credit
487,487,Debit
488,488,Credit
489,489,Debit
490,490,Credit
491,491,Credit
492,492,Credit
493,493,Bank
494,494,Bank
495,495,Bank
496,496,Debit
497,497,Bank
498,498,Debit
499,499,Bank
500,500,Bank
501,501,Bank
502,502,Credit
503,503,Bank
504,504,Bank
505,505,Debit
506,506,Bank
507,507,Bank
508,508,Debit
509,509,Debit
510,510,Bank
511,511,Bank
512,512,Bank
513,513,Credit
514,514,Bank
515,515,Bank
516,516,Debit
517,517,Bank
518,518,Debit
519,519,Credit
520,520,Credit
521,521,Bank
522,522,Debit
523,523,Bank
524,524,Debit
525,525,Debit
526,526,Credit
527,527,Bank
528,528,Debit
529,529,Credit
530,530,Debit
531,531,Debit
532,532,Debit
533,533,Bank
534,534,Debit
535,535,Debit
536,536,Debit
537,537,Debit
538,538,Debit
539,539,Debit
540,540,Bank
541,541,Debit
542,542,Credit
543,543,Credit
544,544,Credit
545,545,Credit
546,546,Debit
547,547,Credit
548,548,Credit
549,549,Credit
550,550,Bank
551,551,Bank
552,552,Bank
553,553,Debit
554,554,Bank
555,555,Credit
556,556,Debit
557,557,Credit
558,558,Debit
559,559,Debit
560,560,Credit
561,561,Debit
562,562,Bank
563,563,Credit
564,564,Debit
565,565,Bank
566,566,Credit
567,567,Debit
568,568,Credit
569,569,Bank
570,570,Bank
571,571,Credit
572,572,Bank
573,573,Debit
574,574,Bank
575,575,Credit
576,576,Bank
577,577,Bank
578,578,Bank
579,579,Debit
580,580,Bank
581,581,Debit
582,582,Debit
583,583,Debit
584,584,Bank
585,585,Credit
586,586,Bank
587,587,Debit
588,588,Debit
589,589,Credit
590,590,Bank
591,591,Debit
592,592,Debit
593,593,Credit
594,594,Credit
595,595,Credit
596,596,Debit
597,597,Credit
598,598,Bank
599,599,Bank
600,600,Credit
601,601,Debit
602,602,Bank
603,603,Credit
604,604,Credit
605,605,Bank
606,606,Bank
607,607,Bank
608,608,Credit
609,609,Bank
610,610,Debit
611,611,Bank
612,612,Debit
613,613,Bank
614,614,Debit
615,615,Bank
616,616,Credit
617,617,Bank
618,618,Bank
619,619,Credit
620,620,Bank
621,621,Bank
622,622,Debit
623,623,Debit
624,624,Debit
625,625,Credit
626,626,Credit
627,627,Bank
628,628,Debit
629,629,Credit
630,630,Bank
631,631,Debit
632,632,Bank
633,633,Debit
634,634,Credit
635,635,Debit
636,636,Credit
637,637,Credit
638,638,Bank
639,639,Credit
640,640,Bank
641,641,Bank
642,642,Bank
643,643,Debit
644,644,Credit
645,645,Credit
646,646,Credit
647,647,Credit
648,648,Bank
649,649,Credit
650,650,Bank
651,651,Bank
652,652,Credit
653,653,Credit
654,654,Debit
655,655,Debit
656,656,Credit
657,657,Bank
658,658,Bank
659,659,Credit
660,660,Debit
661,661,Debit
662,662,Debit
663,663,Debit
664,664,Debit
665,665,Credit
666,666,Debit
667,667,Debit
668,668,Credit
669,669,Bank
670,670,Debit
671,671,Debit
672,672,Credit
673,673,Debit
674,674,Debit
675,675,Bank
676,676,Credit
677,677,Debit
678,678,Debit
679,679,Credit
680,680,Credit
681,681,Bank
682,682,Bank
683,683,Debit
684,684,Credit
685,685,Credit
686,686,Debit
687,687,Credit
688,688,Credit
689,689,Debit
690,690,Bank
691,691,Debit
692,692,Bank
693,693,Debit
694,694,Credit
695,695,Debit
696,696,Debit
697,697,Debit
698,698,Bank
699,699,Bank
700,700,Bank
701,701,Credit
702,702,Debit
703,703,Credit
704,704,Bank
705,705,Bank
706,706,Debit
707,707,Debit
708,708,Bank
709,709,Debit
710,710,Bank
711,711,Bank
712,712,Debit
713,713,Bank
714,714,Debit
715,715,Debit
716,716,Credit
717,717,Bank
718,718,Debit
719,719,Bank
720,720,Debit
721,721,Debit
722,722,Bank
723,723,Bank
724,724,Credit
725,725,Bank
726,726,Bank
727,727,Bank
728,728,Bank
729,729,Credit
730,730,Bank
731,731,Credit
732,732,Bank
733,733,Debit
734,734,Credit
735,735,Credit
736,736,Debit
737,737,Bank
738,738,Bank
739,739,Credit
740,740,Debit
741,741,Credit
742,742,Bank
743,743,Credit
744,744,Debit
745,745,Debit
746,746,Bank
747,747,Credit
748,748,Bank
749,749,Credit
750,750,Debit
751,751,Bank
752,752,Bank
753,753,Credit
754,754,Bank
755,755,Bank
756,756,Credit
757,757,Bank
758,758,Bank
759,759,Credit
760,760,Credit
761,761,Debit
762,762,Credit
763,763,Credit
764,764,Bank
765,765,Bank
766,766,Credit
767,767,Credit
768,768,Bank
769,769,Bank
770,770,Debit
771,771,Credit
772,772,Credit
773,773,Bank
774,774,Bank
775,775,Debit
776,776,Credit
777,777,Credit
778,778,Credit
779,779,Debit
780,780,Debit
781,781,Bank
782,782,Credit
783,783,Credit
784,784,Credit
785,785,Debit
786,786,Debit
787,787,Debit
788,788,Debit
789,789,Debit
790,790,Debit
791,791,Bank
792,792,Debit
793,793,Bank
794,794,Credit
795,795,Bank
796,796,Bank
797,797,Debit
798,798,Bank
799,799,Debit
800,800,Bank
801,801,Debit
802,802,Bank
803,803,Bank
804,804,Bank
805,805,Bank
806,806,Debit
807,807,Debit
808,808,Debit
809,809,Debit
810,810,Credit
811,811,Credit
812,812,Debit
813,813,Debit
814,814,Bank
815,815,Bank
816,816,Bank
817,817,Bank
818,818,Credit
819,819,Bank
820,820,Credit
821,821,Bank
822,822,Bank
823,823,Bank
824,824,Bank
825,825,Bank
826,826,Bank
827,827,Bank
828,828,Bank
829,829,Bank
830,830,Credit
831,831,Credit
832,832,Bank
833,833,Credit
834,834,Credit
835,835,Bank
836,836,Credit
837,837,Bank
838,838,Bank
839,839,Bank
840,840,Bank
841,841,Bank
842,842,Debit
843,843,Credit
844,844,Credit
845,845,Debit
846,846,Bank
847,847,Bank
848,848,Credit
849,849,Debit
850,850,Bank
851,851,Debit
852,852,Debit
853,853,Bank
854,854,Debit
855,855,Debit
