sms_id,sub_id,msg_length
1,539,105
2,775,156
3,507,97
4,726,76
5,635,78
6,250,129
7,816,145
8,720,92
9,467,97
10,900,120
11,477,42
12,94,103
13,462,71
14,458,160
15,355,135
16,61,26
17,286,133
18,343,97
19,569,58
20,819,135
21,333,81
22,386,110
23,564,97
24,169,141
25,91,37
26,832,87
27,399,127
28,181,140
29,131,135
30,319,104
31,268,82
32,534,52
33,228,98
34,854,133
35,865,34
36,216,124
37,935,55
38,65,78
39,395,81
40,389,142
41,174,15
42,699,94
43,849,141
44,672,39
45,831,145
46,945,48
47,143,139
48,292,125
49,490,125
50,27,75
51,727,31
52,280,125
53,965,117
54,80,145
55,22,16
56,896,45
57,148,51
58,923,106
59,352,126
60,853,107
61,671,116
62,293,143
63,671,93
64,240,42
65,239,89
66,820,47
67,677,12
68,595,43
69,890,49
70,605,132
71,428,15
72,831,154
73,564,98
74,814,76
75,856,38
76,565,152
77,484,117
78,397,79
79,197,15
80,222,66
81,519,129
82,84,25
83,934,138
84,877,102
85,971,95
86,149,127
87,720,111
88,720,16
89,355,18
90,753,138
91,333,41
92,91,54
93,634,58
94,97,105
95,7,97
96,399,30
97,462,74
98,948,65
99,366,68
100,586,47
101,472,149
102,529,66
103,913,24
104,976,117
105,69,63
106,516,70
107,560,135
108,733,57
109,427,16
110,986,127
111,490,46
112,800,12
113,293,39
114,737,18
115,498,14
116,876,102
117,71,68
118,74,46
119,682,49
120,552,128
121,548,160
122,565,132
123,841,100
124,691,156
125,317,72
126,392,19
127,820,142
128,70,158
129,365,38
130,382,39
131,564,28
132,287,103
133,184,129
134,68,106
135,383,112
136,890,106
137,262,120
138,326,108
139,795,15
140,244,110
141,304,41
142,557,144
143,319,135
144,543,49
145,561,19
146,850,88
147,23,83
148,525,89
149,480,158
150,127,39
151,942,106
152,759,116
153,712,105
154,183,57
155,127,141
156,382,23
157,9,156
158,385,160
159,212,116
160,930,67
161,362,80
162,394,53
163,426,37
164,684,123
165,63,87
166,678,57
167,877,101
168,286,53
169,852,148
170,37,99
171,491,91
172,657,68
173,39,109
174,52,61
175,857,150
176,511,51
177,278,100
178,413,160
179,192,90
180,121,44
181,855,136
182,466,68
183,412,20
184,189,32
185,547,34
186,816,22
187,400,91
188,264,107
189,532,151
190,49,130
191,972,13
192,896,30
193,722,135
194,445,156
195,200,27
196,969,151
197,780,48
198,599,104
199,256,41
200,915,58
201,789,136
202,432,120
203,157,47
204,602,101
205,659,127
206,695,22
207,613,84
208,638,91
209,448,129
210,662,99
211,116,90
212,661,114
213,983,84
214,525,17
215,448,54
216,118,54
217,88,130
218,205,103
219,889,27
220,382,79
221,802,124
222,836,140
223,375,37
224,873,28
225,150,29
226,798,151
227,245,114
228,240,49
229,121,133
230,47,100
231,429,104
232,632,85
233,114,134
234,807,75
235,596,130
236,576,124
237,982,28
238,298,17
239,197,134
240,372,108
241,719,132
242,514,92
243,478,20
244,539,34
245,47,61
246,17,136
247,673,18
248,451,116
249,478,113
250,491,66
251,516,30
252,107,117
253,213,108
254,463,38
255,222,28
256,520,37
257,535,106
258,41,73
259,910,97
260,139,27
261,77,105
262,187,118
263,734,112
264,418,140
265,826,72
266,811,98
267,259,54
268,622,91
269,810,84
270,170,11
271,481,77
272,906,102
273,436,111
274,367,68
275,19,84
276,169,87
277,24,146
278,299,23
279,312,65
280,366,78
281,613,120
282,627,93
283,551,123
284,314,27
285,966,57
286,671,45
287,248,45
288,264,94
289,978,94
290,430,127
291,695,98
292,195,73
293,234,24
294,986,153
295,230,36
296,535,55
297,193,95
298,204,156
299,450,55
300,557,19
301,906,63
302,558,137
303,673,67
304,437,143
305,191,120
306,551,159
307,88,54
308,468,97
309,587,49
310,526,105
311,354,102
312,549,156
313,72,58
314,474,10
315,791,95
316,150,102
317,709,83
318,840,14
319,183,72
320,619,118
321,383,84
322,94,53
323,865,44
324,70,43
325,646,120
326,144,49
327,483,73
328,323,86
329,920,82
330,392,44
331,580,84
332,114,130
333,816,101
334,104,24
335,815,113
336,45,145
337,624,116
338,796,33
339,204,33
340,881,69
341,774,11
342,98,115
343,185,38
344,386,140
345,692,138
346,936,13
347,665,118
348,256,40
349,548,110
350,922,83
351,172,93
352,502,94
353,279,122
354,91,88
355,480,137
356,966,50
357,266,91
358,358,20
359,688,35
360,511,107
361,341,51
362,578,57
363,501,109
364,568,14
365,985,111
366,515,20
367,464,130
368,69,86
369,191,151
370,13,146
371,970,94
372,921,12
373,95,93
374,226,29
375,169,92
376,438,137
377,378,30
378,362,31
379,619,99
380,572,97
381,19,46
382,77,103
383,507,19
384,640,129
385,407,78
386,767,159
387,500,148
388,27,105
389,662,84
390,745,98
391,590,128
392,183,14
393,37,14
394,231,84
395,180,142
396,64,52
397,568,119
398,202,57
399,443,160
400,6,84
401,386,44
402,90,63
403,100,53
404,196,140
405,5,35
406,10,52
407,426,157
408,642,128
409,156,121
410,328,59
411,306,53
412,107,157
413,386,119
414,962,103
415,612,138
416,422,11
417,72,151
418,583,117
419,205,19
420,540,92
421,705,94
422,875,149
423,215,128
424,544,152
425,604,117
426,218,45
427,29,149
428,243,90
429,306,150
430,140,116
431,51,23
432,680,109
433,64,114
434,48,52
435,127,18
436,300,10
437,16,74
438,795,117
439,742,118
440,508,155
441,566,45
442,888,95
443,579,12
444,598,55
445,549,139
446,502,139
447,268,47
448,66,57
449,830,23
450,826,84
451,941,32
452,991,31
453,160,102
454,794,58
455,448,112
456,957,141
457,661,138
458,561,63
459,654,130
460,748,150
461,604,11
462,666,75
463,402,115
464,61,23
465,313,71
466,901,145
467,847,87
468,593,88
469,23,25
470,803,91
471,812,43
472,69,48
473,885,100
474,520,119
475,176,84
476,291,100
477,340,31
478,235,65
479,662,70
480,136,148
481,794,72
482,704,139
483,582,96
484,521,17
485,590,31
486,349,120
487,847,108
488,864,39
489,669,44
490,443,49
491,291,54
492,92,104
493,133,47
494,23,13
495,795,94
496,906,129
497,603,107
498,849,66
499,413,70
500,926,34
501,499,35
502,646,98
503,938,98
504,176,118
505,678,20
506,564,66
507,499,93
508,156,117
509,794,14
510,616,158
511,829,69
512,351,110
513,627,86
514,201,37
515,574,23
516,341,95
517,620,154
518,688,19
519,21,37
520,333,32
521,175,152
522,693,114
523,231,22
524,425,102
525,10,46
526,881,33
527,384,159
528,460,57
529,181,156
530,753,97
531,50,40
532,997,57
533,207,72
534,661,103
535,201,86
536,972,75
537,664,119
538,838,13
539,799,143
540,283,25
541,442,86
542,477,34
543,516,76
544,29,118
545,43,150
546,791,113
547,33,64
548,752,138
549,247,62
550,623,60
551,87,58
552,276,76
553,620,14
554,26,66
555,239,81
556,847,67
557,371,115
558,855,81
559,768,140
560,249,75
561,311,12
562,609,23
563,452,46
564,768,124
565,941,137
566,395,124
567,161,24
568,161,37
569,600,10
570,121,62
571,249,88
572,652,121
573,937,64
574,371,35
575,961,33
576,214,141
577,754,67
578,240,39
579,120,48
580,938,47
581,857,81
582,405,144
583,385,160
584,714,109
585,354,29
586,764,107
587,875,145
588,737,76
589,59,152
590,389,143
591,887,93
592,183,159
593,424,116
594,459,80
595,864,139
596,176,69
597,623,160
598,885,84
599,759,46
600,395,36
601,937,25
602,381,153
603,907,139
604,653,150
605,465,41
606,38,138
607,420,70
608,928,29
609,734,104
610,711,100
611,200,65
612,757,87
613,335,136
614,148,37
615,361,111
616,693,43
617,515,123
618,932,39
619,494,15
620,527,14
621,498,107
622,747,137
623,928,51
624,255,125
625,673,15
626,739,50
627,95,55
628,467,73
629,407,67
630,911,74
631,536,43
632,952,17
633,566,52
634,710,126
635,991,82
636,714,144
637,463,85
638,483,117
639,648,113
640,420,86
641,153,142
642,929,46
643,391,117
644,705,10
645,333,43
646,844,62
647,151,33
648,879,135
649,76,75
650,239,21
651,966,37
652,724,94
653,141,88
654,875,85
655,77,75
656,797,28
657,447,34
658,722,137
659,235,83
660,655,156
661,975,158
662,620,97
663,527,70
664,770,18
665,145,52
666,315,137
667,851,157
668,560,24
669,151,41
670,228,89
671,519,118
672,939,69
673,17,63
674,929,121
675,82,11
676,112,25
677,58,134
678,535,28
679,896,108
680,363,156
681,204,44
682,636,136
683,610,25
684,681,84
685,94,81
686,413,106
687,194,130
688,29,10
689,533,21
690,810,64
691,632,96
692,573,157
693,266,113
694,166,48
695,65,54
696,713,33
697,141,48
698,330,89
699,358,126
700,60,24
701,687,15
702,794,96
703,794,114
704,838,62
705,223,51
706,656,65
707,43,120
708,678,112
709,343,126
710,864,142
711,361,15
712,493,84
713,702,127
714,162,23
715,173,11
716,519,15
717,84,31
718,485,65
719,231,85
720,150,28
721,999,120
722,866,63
723,468,69
724,950,120
725,310,126
726,25,70
727,282,145
728,36,122
729,941,41
730,199,45
731,665,158
732,258,55
733,765,78
734,739,108
735,304,14
736,687,103
737,21,82
738,957,52
739,743,97
740,119,73
741,534,30
742,283,14
743,364,50
744,482,47
745,114,84
746,758,117
747,497,15
748,500,144
749,336,128
750,432,149
751,562,112
752,643,28
753,270,114
754,67,57
755,58,78
756,964,149
757,222,19
758,198,114
759,97,158
760,236,116
761,656,66
762,46,13
763,439,52
764,849,76
765,455,10
766,742,115
767,465,80
768,81,78
769,377,14
770,849,42
771,257,38
772,735,123
773,505,150
774,165,26
775,298,123
776,555,51
777,918,68
778,570,18
779,318,37
780,477,114
781,744,26
782,563,35
783,267,11
784,193,69
785,373,128
786,79,22
787,487,137
788,355,14
789,661,104
790,770,154
791,705,14
792,787,26
793,362,127
794,684,155
795,906,48
796,599,82
797,467,135
798,828,22
799,595,104
800,881,138
801,941,134
802,590,130
803,774,54
804,921,93
805,329,81
806,705,125
807,203,45
808,870,13
809,580,160
810,138,89
811,464,11
812,174,151
813,49,134
814,494,76
815,972,100
816,544,78
817,412,115
818,673,37
819,14,86
820,162,55
821,627,52
822,127,26
823,871,137
824,238,95
825,492,86
826,310,101
827,612,91
828,242,139
829,800,158
830,530,146
831,832,129
832,399,119
833,745,152
834,703,71
835,909,38
836,664,104
837,557,90
838,749,30
839,125,133
840,963,119
841,275,160
842,75,43
843,123,155
844,899,67
845,966,90
846,986,142
847,430,146
848,227,43
849,382,84
850,356,106
851,749,77
852,198,112
853,780,153
854,148,101
855,447,119
856,70,25
857,549,75
858,539,19
859,631,38
860,611,11
861,429,114
862,146,18
863,826,114
864,294,17
865,887,21
866,396,46
867,362,45
868,905,111
869,288,88
870,232,118
