sub_id,vas_id
470,3
931,3
860,2
548,2
345,3
600,3
306,1
593,3
343,1
509,2
86,3
553,3
318,2
827,3
140,2
635,2
433,1
724,3
802,1
340,2
833,2
758,2
240,2
837,2
694,1
360,3
406,2
11,1
28,3
338,1
583,1
518,3
266,3
828,3
890,1
969,2
663,2
471,3
570,3
952,3
214,1
332,2
937,3
991,2
520,2
337,1
555,2
702,3
885,3
702,1
432,2
571,3
766,3
473,2
474,3
775,2
378,2
315,3
107,1
968,2
672,2
537,3
925,1
746,2
274,1
344,3
435,1
570,1
705,2
38,3
559,1
774,1
270,3
853,1
121,1
342,1
851,3
23,2
22,3
451,3
904,2
727,3
242,2
949,2
557,2
886,1
429,3
92,3
586,3
426,3
759,2
158,3
372,2
220,2
438,2
116,1
640,2
178,3
721,2
1000,2
840,2
863,2
708,1
566,3
73,2
293,1
19,2
535,3
553,2
97,2
796,1
944,1
59,1
43,3
898,1
159,2
510,3
200,3
132,3
422,1
231,2
110,3
415,2
429,1
67,2
838,2
609,1
817,3
693,3
955,3
395,1
92,1
755,2
281,2
486,1
938,3
892,2
668,2
667,1
300,2
556,3
130,3
684,1
531,3
166,3
925,2
817,2
163,3
720,3
578,2
182,1
191,2
57,1
475,3
716,1
942,3
487,1
746,3
292,1
861,3
956,1
377,2
916,1
567,3
816,2
92,2
479,2
438,1
56,2
897,2
80,1
812,3
372,3
357,3
509,1
326,2
416,2
692,1
430,2
940,3
320,2
832,2
678,1
353,1
289,1
986,3
219,1
116,2
323,3
795,1
440,2
894,1
165,3
369,3
633,1
772,2
815,3
768,1
987,2
252,1
884,2
250,1
391,2
228,2
933,2
6,1
890,2
536,1
470,2
143,2
347,1
795,3
211,2
854,3
994,3
157,3
714,1
993,1
957,1
948,1
868,3
15,1
324,3
174,3
512,3
54,2
961,2
730,1
467,2
722,3
216,2
318,3
645,3
641,2
753,3
936,2
887,1
877,2
209,2
425,1
874,1
57,2
610,2
322,3
279,2
627,3
81,3
835,1
645,2
384,3
337,2
946,1
60,1
285,3
462,3
513,3
765,2
819,1
597,2
508,3
55,3
613,2
136,1
147,3
276,3
368,2
381,3
763,1
901,3
838,1
919,1
42,2
202,2
742,3
411,1
314,3
76,2
335,3
626,3
972,3
730,2
703,1
392,1
754,2
436,3
659,3
569,2
7,3
232,2
348,3
758,1
405,1
48,3
290,1
310,3
587,1
767,3
575,1
221,1
560,2
451,1
251,3
956,3
907,1
327,3
308,2
761,2
903,3
921,1
329,3
629,3
994,1
570,2
635,1
110,2
25,3
195,1
109,3
133,1
700,1
413,3
616,2
144,3
597,1
658,2
308,1
777,3
902,1
740,1
666,3
792,3
947,1
298,3
690,2
79,3
89,3
4,3
774,2
234,2
58,1
662,2
174,2
740,2
735,1
988,1
144,1
356,2
134,3
769,1
830,2
71,2
938,2
920,1
849,2
919,3
594,3
293,3
385,2
137,2
868,2
338,3
149,3
172,3
663,1
366,1
416,1
635,3
599,1
80,2
311,2
316,3
979,3
882,3
394,3
449,1
271,1
389,2
715,1
353,3
933,1
848,3
760,2
822,2
464,3
985,1
643,3
282,1
689,2
737,1
355,3
169,3
35,2
227,2
313,3
549,2
617,2
496,3
500,1
844,3
871,1
322,2
753,2
299,2
906,3
236,3
905,1
455,3
291,1
709,1
930,2
105,2
831,3
971,3
709,3
140,3
301,3
779,1
762,1
56,1
197,2
290,3
164,3
98,1
947,2
169,2
976,2
428,2
619,2
701,2
173,2
456,1
550,3
404,2
418,2
754,1
128,1
667,2
508,2
54,1
325,1
563,3
701,1
95,2
690,3
454,3
66,2
492,3
581,3
914,1
760,1
182,3
533,1
642,3
992,3
