ticket_id,customer_id,issue_type
1,81,Billing
2,670,Hardware
3,884,Billing
4,194,Network
5,733,Billing
6,963,Hardware
7,208,Billing
8,873,Hardware
9,432,Hardware
10,199,Billing
11,166,Billing
12,575,Billing
13,367,Network
14,649,Billing
15,116,Hardware
16,48,Network
17,133,Network
18,839,Hardware
19,187,Billing
20,624,Hardware
21,163,Billing
22,764,Billing
23,73,Billing
24,209,Network
25,375,Hardware
26,423,Hardware
27,754,Billing
28,230,Billing
29,927,Billing
30,112,Billing
31,629,Network
32,152,Hardware
33,26,Billing
34,722,Network
35,150,Network
36,455,Network
37,432,Network
38,189,Billing
39,131,Network
40,43,Network
41,646,Network
42,717,Billing
43,73,Network
44,69,Billing
45,912,Network
46,305,Hardware
47,244,Network
48,660,Network
49,708,Hardware
50,695,Billing
51,646,Network
52,42,Network
53,940,Billing
54,793,Billing
55,629,Network
56,337,Hardware
57,803,Hardware
58,24,Hardware
59,451,Network
60,754,Billing
61,889,Hardware
62,8,Network
63,195,Hardware
64,740,Hardware
65,235,Billing
66,662,Network
67,772,Billing
68,313,Billing
69,164,Hardware
70,844,Network
71,729,Hardware
72,110,Billing
73,729,Billing
74,843,Billing
75,154,Billing
76,421,Billing
77,476,Network
78,111,Network
79,533,Billing
80,287,Billing
81,122,Network
82,402,Hardware
83,543,Network
84,814,Billing
85,774,Billing
86,896,Hardware
87,6,Hardware
88,835,Hardware
89,350,Billing
90,486,Network
91,685,Hardware
92,63,Billing
93,528,Hardware
94,714,Billing
95,711,Billing
96,484,Billing
97,796,Billing
98,521,Hardware
99,549,Billing
100,847,Network
101,282,Billing
102,68,Billing
103,334,Billing
104,575,Billing
105,901,Network
106,346,Hardware
107,912,Network
108,618,Hardware
109,303,Network
110,366,Network
111,298,Network
112,551,Network
113,562,Network
114,569,Billing
115,551,Network
116,703,Billing
117,356,Network
118,523,Hardware
119,382,Billing
120,588,Billing
121,60,Billing
122,733,Hardware
123,618,Hardware
124,880,Hardware
125,172,Hardware
126,931,Network
127,132,Hardware
128,50,Network
129,298,Billing
130,467,Hardware
131,320,Network
132,525,Network
133,534,Billing
134,627,Billing
135,880,Network
136,276,Billing
137,425,Hardware
138,201,Network
139,978,Billing
140,879,Billing
141,25,Billing
142,342,Hardware
143,94,Billing
144,960,Network
145,187,Billing
146,502,Network
147,270,Network
148,808,Billing
149,935,Hardware
150,419,Hardware
151,53,Billing
152,375,Billing
153,346,Billing
154,688,Network
155,696,Hardware
156,726,Hardware
157,121,Billing
158,724,Billing
159,460,Billing
160,1000,Hardware
161,972,Billing
162,94,Network
163,826,Billing
164,141,Network
165,338,Billing
166,794,Billing
167,838,Hardware
168,821,Hardware
169,626,Hardware
170,50,Network
171,331,Hardware
172,280,Hardware
173,57,Network
174,818,Network
175,461,Billing
176,583,Network
177,763,Network
178,813,Billing
179,976,Hardware
180,310,Network
181,407,Billing
182,982,Network
183,66,Billing
184,135,Network
185,966,Hardware
186,263,Billing
187,99,Billing
188,861,Billing
189,654,Billing
190,373,Network
191,114,Network
192,228,Hardware
193,246,Billing
194,12,Network
195,71,Hardware
196,831,Network
197,847,Network
198,960,Network
199,24,Hardware
200,209,Network
201,658,Billing
202,907,Hardware
203,405,Network
204,355,Network
205,533,Network
206,842,Billing
207,565,Network
208,123,Network
209,158,Billing
210,643,Network
211,282,Hardware
212,152,Hardware
213,30,Billing
214,956,Hardware
215,90,Network
216,144,Network
217,569,Network
218,890,Network
219,620,Hardware
220,951,Hardware
221,599,Network
222,48,Network
223,630,Hardware
224,126,Network
225,564,Billing
226,9,Billing
227,23,Network
228,476,Billing
229,202,Hardware
230,474,Network
231,579,Hardware
232,788,Billing
233,555,Hardware
234,458,Billing
235,838,Hardware
236,960,Network
237,63,Network
238,560,Hardware
239,630,Hardware
240,473,Billing
