res_id,ticket_id,emp_id
1,256,1
2,154,60
3,383,89
4,441,66
5,359,34
6,449,55
7,374,1
8,377,29
9,224,50
10,243,93
11,358,9
12,38,80
13,432,71
14,268,68
15,259,98
16,294,46
17,2,96
18,334,1
19,29,69
20,309,33
21,52,37
22,29,20
23,494,73
24,257,8
25,147,61
26,105,18
27,271,94
28,59,7
29,145,25
30,172,56
31,474,18
32,147,38
33,474,58
34,105,96
35,389,28
36,247,21
37,310,40
38,438,84
39,155,57
40,336,52
41,163,76
42,381,65
43,411,96
44,298,17
45,426,83
46,81,7
47,154,88
48,279,42
49,484,43
50,257,37
51,268,16
52,456,99
53,488,17
54,194,68
55,81,51
56,288,36
57,317,3
58,391,17
59,464,40
60,11,33
61,81,91
62,451,13
63,118,99
64,161,11
65,133,26
66,143,47
67,479,31
68,497,6
69,162,40
70,288,19
71,78,38
72,307,26
73,464,63
74,18,27
75,356,61
76,299,65
77,31,43
78,45,78
79,6,92
80,449,85
81,164,52
82,105,88
83,321,8
84,50,100
85,158,1
86,55,40
87,37,81
88,139,8
89,381,1
90,229,73
91,58,51
92,132,6
93,186,99
94,302,82
95,460,82
96,258,45
97,299,89
98,498,2
99,369,13
100,121,38
101,126,27
102,493,94
103,308,36
104,276,14
105,310,44
106,362,19
107,140,31
108,260,35
109,125,41
110,439,63
111,492,99
112,232,7
113,453,22
114,312,56
115,47,65
116,150,21
117,8,13
118,188,60
119,133,83
120,169,54
121,37,32
122,58,48
123,248,35
124,76,51
125,35,83
126,121,15
127,288,24
128,265,42
129,212,77
130,116,63
131,303,67
132,254,71
133,419,23
134,321,93
135,361,68
136,454,59
137,423,94
138,346,88
139,398,52
140,255,7
141,65,38
142,399,34
143,443,14
144,187,77
145,168,16
146,62,7
147,444,84
148,338,56
149,372,65
150,336,82
151,102,43
152,37,100
153,182,96
154,215,41
155,62,80
156,217,58
157,274,24
158,368,47
159,400,95
160,408,40
161,266,21
162,223,28
163,99,46
164,251,40
165,320,50
166,42,27
167,376,55
168,368,68
169,55,74
170,74,12
171,305,67
172,450,9
173,230,61
174,110,85
175,176,70
176,192,84
177,416,29
178,222,64
179,212,91
180,100,53
181,82,15
182,407,52
183,422,8
184,464,59
185,5,29
186,6,26
187,365,22
188,420,98
189,255,51
190,87,23
191,138,34
192,29,64
193,160,79
194,49,86
195,98,3
196,479,39
197,401,42
198,495,52
199,424,64
200,18,97
201,388,50
202,191,50
203,326,21
204,175,21
205,403,71
206,107,8
207,199,5
208,102,66
209,155,15
210,274,24
211,7,84
212,327,67
213,111,7
214,238,81
215,255,50
216,96,38
217,333,14
218,228,95
219,357,35
220,305,67
221,435,98
222,161,100
223,29,2
224,413,55
225,151,60
226,99,11
227,136,47
228,52,73
229,471,5
230,401,41
231,301,9
232,489,29
233,240,62
234,387,6
235,498,78
236,155,99
237,207,39
238,228,30
239,135,89
240,114,95
241,459,12
242,15,15
243,156,69
244,3,71
245,308,84
246,52,96
247,221,36
248,215,87
249,483,63
250,186,29
251,9,19
252,204,61
253,12,46
254,114,24
255,470,64
256,337,1
257,382,4
258,106,51
259,367,30
260,177,17
261,124,2
262,362,48
263,290,21
264,482,76
265,182,92
266,109,54
267,488,49
268,431,72
269,485,97
270,80,16
271,166,55
272,488,37
273,330,51
274,477,75
275,431,77
276,188,20
277,222,96
278,63,76
279,278,83
280,475,29
281,245,35
282,301,69
283,429,82
284,327,70
285,395,48
286,205,94
287,499,1
288,348,9
289,291,99
290,482,61
291,281,77
292,461,18
293,355,57
294,26,8
295,340,45
296,414,27
297,218,54
298,243,45
299,9,45
300,184,57
