data_id,sub_id,mb_used
1,487,593
2,464,83
3,522,322
4,957,938
5,376,274
6,792,696
7,5,517
8,441,558
9,294,13
10,803,240
11,367,474
12,577,130
13,531,769
14,263,149
15,42,786
16,314,935
17,848,808
18,326,415
19,97,600
20,515,257
21,771,856
22,24,555
23,312,855
24,35,816
25,872,549
26,868,836
27,184,659
28,610,538
29,729,59
30,969,317
31,278,401
32,760,661
33,425,7
34,665,421
35,260,528
36,343,808
37,10,595
38,487,20
39,22,800
40,510,887
41,81,303
42,84,607
43,600,225
44,597,769
45,760,30
46,994,299
47,326,76
48,541,17
49,612,228
50,383,3
51,816,607
52,861,351
53,935,371
54,768,124
55,671,539
56,696,339
57,995,871
58,812,77
59,271,831
60,76,251
61,552,850
62,745,201
63,316,295
64,174,394
65,926,993
66,26,339
67,769,858
68,539,916
69,473,905
70,996,26
71,32,213
72,539,658
73,372,961
74,349,448
75,10,892
76,443,433
77,922,601
78,852,459
79,435,853
80,318,562
81,948,162
82,342,549
83,998,493
84,492,24
85,839,438
86,697,766
87,396,360
88,552,72
89,101,112
90,887,911
91,990,723
92,219,17
93,617,98
94,456,182
95,869,463
96,449,330
97,389,727
98,133,851
99,202,749
100,474,203
101,7,66
102,714,268
103,580,445
104,741,647
105,863,89
106,82,827
107,261,792
108,307,485
109,22,175
110,870,257
111,498,757
112,47,755
113,846,975
114,810,626
115,157,648
116,674,949
117,507,361
118,371,148
119,554,939
120,671,447
121,28,579
122,284,205
123,251,823
124,701,822
125,559,235
126,42,946
127,106,699
128,622,408
129,171,11
130,451,725
131,388,155
132,238,717
133,829,683
134,693,86
135,174,734
136,526,163
137,587,816
138,978,154
139,681,561
140,894,37
141,495,508
142,473,965
143,309,10
144,922,301
145,656,523
146,190,511
147,784,844
148,979,300
149,843,369
150,516,809
151,5,329
152,771,304
153,113,127
154,628,990
155,384,501
156,384,955
157,593,112
158,521,261
159,1,361
160,35,469
161,622,147
162,674,362
163,309,85
164,113,384
165,104,234
166,333,97
167,899,78
168,879,176
169,421,112
170,226,714
171,369,140
172,920,671
173,659,672
174,845,382
175,946,235
176,676,876
177,936,526
178,318,718
179,786,123
180,587,104
181,151,747
182,680,524
183,511,447
184,146,453
185,727,586
186,282,320
187,202,428
188,160,197
189,57,515
190,137,145
191,919,533
192,508,456
193,501,600
194,588,27
195,388,912
196,835,971
197,562,989
198,377,330
199,88,176
200,17,918
201,743,459
202,398,208
203,899,86
204,376,815
205,436,277
206,461,258
207,98,144
208,303,686
209,231,916
210,564,673
211,600,933
212,428,139
213,846,426
214,439,671
215,945,5
216,183,109
217,525,268
218,175,964
219,794,207
220,438,399
221,809,749
222,525,922
223,408,892
224,695,291
225,57,577
226,362,340
227,95,417
228,280,881
229,536,29
230,889,88
231,396,434
232,779,733
233,296,63
234,717,513
235,174,230
236,174,604
237,156,581
238,47,739
239,645,401
240,781,683
241,112,577
242,516,810
243,680,864
244,14,25
245,547,9
246,283,248
247,361,885
248,446,446
249,962,492
250,432,526
251,708,488
252,49,590
253,906,492
254,94,620
255,959,399
256,889,182
257,957,833
258,839,383
259,459,30
260,87,856
261,958,328
262,876,992
263,736,147
264,326,539
265,413,976
266,50,849
267,685,302
268,981,236
269,409,663
270,710,558
271,791,592
272,627,318
273,383,312
274,693,172
275,425,311
276,21,447
277,613,749
278,942,915
279,251,793
280,506,32
281,304,800
282,386,291
283,880,5
284,165,320
285,196,851
286,375,474
287,987,199
288,32,690
289,470,633
290,202,389
291,966,249
292,820,358
293,787,348
294,117,631
295,254,769
296,231,220
297,672,133
298,823,741
299,297,69
300,461,139
301,680,772
302,47,563
303,586,320
304,87,341
305,38,718
306,672,289
307,85,181
308,702,314
309,689,912
310,688,983
311,223,742
312,730,274
313,24,809
314,844,378
315,349,182
316,897,276
317,413,44
318,317,359
319,650,266
320,1000,841
321,451,263
322,73,61
323,332,156
324,748,864
325,162,376
326,561,455
327,858,935
328,471,320
329,268,730
330,712,614
331,680,304
332,167,737
333,214,248
334,312,24
335,378,850
336,316,200
337,85,717
338,4,878
339,603,464
340,862,483
341,278,60
342,193,412
343,620,971
344,318,883
345,653,341
346,249,537
347,411,317
348,834,433
349,196,219
350,398,491
351,186,967
352,729,446
353,101,672
354,43,1
355,953,776
356,999,976
357,833,201
358,796,938
359,726,805
360,353,129
361,251,431
362,360,225
363,310,534
364,65,393
365,64,58
366,98,960
367,450,610
368,193,343
369,243,214
370,88,486
371,728,812
372,24,273
373,603,584
374,919,95
375,890,781
376,320,407
377,797,335
378,158,1000
379,26,96
380,975,625
381,435,387
382,710,238
383,813,407
384,338,813
385,97,153
386,68,137
387,380,893
388,512,325
389,441,401
390,456,222
391,472,762
392,944,177
393,373,244
394,943,37
395,148,574
396,38,238
397,329,918
398,87,430
399,922,417
400,394,1
